startHub,endHub,road_geometry
killeen,dallas,"LINESTRING (-97.727792 31.117227999999997, -97.555058 31.05538799999999, -97.468061 31.045811000000004, -97.333521 31.129633000000002, -97.095782 31.626982000000005, -97.102669 31.791805, -97.081265 31.877232999999997, -97.119237 31.967372000000005, -97.092941 32.054636, -96.93771200000002 32.14477599999999, -96.876355 32.24309, -96.85443 32.34845899999999, -96.872207 32.412110999999996, -96.822087 32.50098499999998, -96.829718 32.71218099999999, -96.796749 32.775945)"
lubbock,abilene,"LINESTRING (-101.847022 33.58554399999998, -101.855218 33.585470000000015, -101.855383 33.549768000000014, -101.846037 33.538728000000006, -101.776954 33.518981999999994, -101.672112 33.46095399999999, -101.66226300000001 33.43137100000001, -101.556659 33.359562999999994, -101.436311 33.219423000000006, -101.37601600000002 33.19809, -101.369723 33.17768000000001, -101.247175 33.09243, -101.162889 33.00286199999999, -101.10421 32.978001, -101.059332 32.917074, -101.051878 32.88079700000002, -100.986926 32.83278899999996, -100.921141 32.74137000000001, -100.883313 32.72021299999999, -100.857144 32.68945900000001, -100.811964 32.67797099999999, -100.779606 32.654880000000006, -100.720081 32.574284000000006, -100.610679 32.47513299999999, -100.508195 32.4457, -100.465153 32.45353000000001, -100.412266 32.447499, -100.391921 32.452051999999995, -100.365053 32.481107000000016, -100.307651 32.493767, -100.200038 32.48497800000002, -100.126324 32.495773999999976, -100.106317 32.48553100000001, -100.002903 32.47633, -99.926842 32.459186999999986, -99.747886 32.44645199999999)"
midland,abilene,"LINESTRING (-102.008892 31.832329999999995, -102.020271 31.847556000000022, -102.033653 31.84458500000001, -102.073768 31.971726000000032, -102.037336 31.983385999999975, -101.97645 32.04811699999999, -101.832297 32.11373699999999, -101.808782 32.137319, -101.759943 32.14031, -101.645509 32.181444000000035, -101.572706 32.22186399999999, -101.527204 32.23273200000001, -101.50221500000002 32.26087200000001, -101.385304 32.26889500000002, -101.223388 32.307573000000005, -101.200744 32.325022000000004, -101.01144100000002 32.35385900000002, -100.959599 32.38618499999999, -100.907103 32.39289699999998, -100.857304 32.41250200000002, -100.81837 32.397163000000006, -100.717112 32.415203000000005, -100.682622 32.40663199999999, -100.46663 32.453417000000016, -100.398787 32.449949, -100.365521 32.480885000000015, -100.306864 32.49387500000002, -100.200038 32.48497800000002, -100.125908 32.495747000000016, -100.106317 32.48553100000001, -100.002903 32.47633, -99.926842 32.459186999999986, -99.747886 32.44645199999999)"
baytown,sanJacinto,"LINESTRING (-94.97759300000001 29.735551000000005, -95.021393 29.778380000000006, -95.067298 29.795181000000028, -95.15414000000001 29.772528999999967, -95.165374 29.81858400000001, -95.202787 29.89032700000002, -95.201572 29.928146000000005, -95.29394 29.941825000000012, -95.225816 30.139103000000006, -95.112058 30.303529000000008, -95.089409 30.352280000000004, -95.116388 30.42535600000002, -95.151493 30.428629, -95.185225 30.464375999999984, -95.19257100000002 30.509218000000004)"
sonora,sanAntonio,"LINESTRING (-100.643031 30.566985999999986, -100.636217 30.559757999999984, -100.579 30.57153699999999, -100.52205300000001 30.563027000000005, -100.27319900000002 30.455975000000002, -100.210509 30.443250000000017, -100.013555 30.496375000000015, -99.930747 30.499784000000002, -99.898923 30.518749000000014, -99.852491 30.527758, -99.77894 30.51058099999998, -99.740802 30.48712700000001, -99.709973 30.435397999999985, -99.658199 30.405084000000006, -99.624573 30.396880000000028, -99.569511 30.318100000000015, -99.543631 30.299144000000005, -99.379999 30.204005000000013, -99.243796 30.164497999999995, -99.224913 30.128578999999995, -99.135618 30.074124999999988, -99.05698 30.067513, -99.035344 30.05380900000002, -99.010736 30.052161000000016, -98.896893 29.976541000000005, -98.884498 29.952645000000008, -98.825872 29.910935000000006, -98.791015 29.86721499999998, -98.755887 29.820717999999992, -98.749064 29.788481999999988, -98.664292 29.717549999999985, -98.613783 29.634903000000026, -98.584856 29.549363, -98.557035 29.525681000000002, -98.544744 29.487793000000032, -98.517176 29.473964999999996, -98.514733 29.44288999999999, -98.495383 29.424529999999994)"
centerville,waco,"LINESTRING (-95.97871 31.257822999999995, -95.987532 31.25984199999999, -95.987272 31.272614, -95.998112 31.294890999999996, -96.020977 31.378471999999995, -96.047066 31.418803999999977, -96.08331500000001 31.459397000000003, -96.085112 31.468109000000013, -96.147293 31.473879000000004, -96.15917600000002 31.471065999999993, -96.21492 31.481253, -96.22822 31.476475000000015, -96.321854 31.506905, -96.523411 31.51556599999996, -96.544023 31.524982999999995, -96.809694 31.552736999999972, -96.847587 31.536395000000006, -96.955653 31.516718999999995, -97.009515 31.524195999999982, -97.022455 31.533095000000003, -97.092327 31.554030000000004, -97.101192 31.560895999999996, -97.104925 31.54708299999999, -97.124412 31.530299999999993, -97.147339 31.54909000000001)"
theWoodlands,centerville,"LINESTRING (-95.504517 30.17364699999998, -95.482052 30.189921000000012, -95.481911 30.204182999999972, -95.45578 30.207294999999995, -95.456553 30.275840000000006, -95.483783 30.350972999999975, -95.495197 30.436335000000014, -95.490915 30.519439000000006, -95.511189 30.660941, -95.582898 30.73240700000001, -95.676492 30.794044000000003, -95.789441 30.90907199999998, -95.875378 30.958628000000008, -95.90018000000002 30.98369000000001, -95.943806 31.04303600000003, -95.975773 31.123205000000006, -95.996705 31.211566, -95.987848 31.25602100000001, -95.97871 31.257822999999995)"
waco,dallas,"LINESTRING (-97.147339 31.54909000000001, -97.10913 31.584787000000013, -97.095472 31.629062000000012, -97.102669 31.791805, -97.081265 31.877232999999997, -97.11901 31.96884499999999, -97.095697 32.00415200000002, -97.091649 32.056627000000006, -96.93771200000002 32.14477599999999, -96.910499 32.17432099999999, -96.876698 32.242174000000006, -96.85443 32.34845899999999, -96.872207 32.412110999999996, -96.822087 32.50098499999998, -96.829718 32.71218099999999, -96.796749 32.775945)"
portArthur,beaumont,"LINESTRING (-93.933259 29.871626999999997, -93.927461 29.879522999999995, -93.934501 29.885599999999997, -93.932853 29.894483999999995, -93.928755 29.89887999999999, -94.017496 29.96464199999999, -94.027805 29.978474999999985, -94.056896 30.031819000000006, -94.062774 30.033775000000013, -94.110679 30.083917000000003, -94.110819 30.085980999999997, -94.101849 30.086125999999997)"
fortWorth,wichitaFalls,"LINESTRING (-97.332623 32.75299599999999, -97.318272 32.767103999999996, -97.31774 32.88739399999998, -97.419683 32.969644999999964, -97.443298 33.02357900000001, -97.478285 33.051322000000006, -97.471384 33.101288999999994, -97.500301 33.14479700000001, -97.586737 33.21704700000001, -97.680134 33.343636000000004, -97.70281600000001 33.35395800000002, -97.710249 33.379070000000006, -97.773669 33.44957799999999, -97.828337 33.53199799999998, -97.90557 33.584298000000004, -98.03997000000001 33.64912200000003, -98.087788 33.69645499999999, -98.131168 33.767606, -98.214947 33.80711500000001, -98.2225 33.820032, -98.343341 33.86783900000001, -98.47784500000002 33.88639999999999, -98.501791 33.90045599999999)"
chocolateBay,brazoria,"LINESTRING (-96.621653 28.584268999999992, -96.622571 28.595344, -96.631456 28.606553999999992, -96.621827 28.613984999999996, -96.626496 28.620809000000012, -96.621552 28.632467000000005, -96.575528 28.666472000000006, -96.44014 28.73133800000001, -96.392446 28.73968899999999, -96.366402 28.72685900000001, -96.345469 28.762386999999997, -96.284981 28.818776000000003, -96.252222 28.868349000000002, -96.209244 28.870884999999994, -96.19202 28.882741999999986, -96.147296 28.896981000000004, -96.013172 28.984432, -95.939911 28.983047999999997, -95.90455 29.004255000000008, -95.839153 29.063413999999995, -95.772458 29.07268, -95.758912 29.08175100000002, -95.733007 29.08452500000001, -95.691344 29.097477, -95.647997 29.144588000000006, -95.610247 29.145633999999987, -95.59448800000001 29.13995399999999, -95.508649 29.149605000000008, -95.508003 29.168540999999998, -95.49952000000002 29.181846000000014)"
brazoria,sugarLand,"LINESTRING (-95.49952000000002 29.181846000000014, -95.484721 29.190482, -95.471623 29.18981800000001, -95.461733 29.197293999999996, -95.449189 29.197323000000008, -95.452804 29.25472100000003, -95.424863 29.305469, -95.426765 29.44440600000002, -95.400252 29.482322, -95.436832 29.49480199999999, -95.505845 29.530606, -95.544731 29.54081600000001, -95.572476 29.573527000000002, -95.594038 29.58819100000001, -95.634672 29.603345000000004, -95.634985 29.619828999999996)"
theWoodlands,houston,"LINESTRING (-95.504517 30.17364699999998, -95.503566 30.164579000000007, -95.486886 30.155213999999994, -95.44926 30.154366999999997, -95.43589 30.108086, -95.437229 30.08113300000002, -95.427856 30.009828000000017, -95.412147 29.93429600000001, -95.411901 29.876857000000015, -95.37405400000002 29.810058000000023, -95.365773 29.769759, -95.372114 29.761940000000006, -95.36786300000001 29.758731)"
collegeStation,waco,"LINESTRING (-96.34554 30.61834300000001, -96.36310700000001 30.603406000000007, -96.372915 30.611451, -96.378773 30.636223999999995, -96.428978 30.689960999999986, -96.424585 30.72830799999999, -96.48182 30.76443399999999, -96.536891 30.83085299999999, -96.57933400000002 30.860421000000006, -96.603193 30.900085000000022, -96.701282 31.008148000000023, -96.71452 31.126497000000015, -96.789895 31.220958000000007, -96.85507 31.252657000000006, -96.874091 31.277028000000005, -96.874672 31.311589000000016, -96.915302 31.407323999999985, -96.93122000000001 31.494182999999975, -96.95950900000001 31.51705999999999, -97.009515 31.524195999999982, -97.101192 31.560895999999996, -97.124412 31.530299999999993, -97.147339 31.54909000000001)"
sanJacinto,centerville,"LINESTRING (-95.19257100000002 30.509218000000004, -95.19803300000001 30.513507999999995, -95.204414 30.511037000000016, -95.20628 30.522521999999995, -95.217979 30.52523799999999, -95.235021 30.54266300000001, -95.238821 30.56112799999999, -95.297328 30.543036999999988, -95.333552 30.524108000000002, -95.386013 30.523048000000003, -95.456085 30.535493, -95.468914 30.531517, -95.495577 30.546271, -95.502147 30.566349, -95.510521 30.65866500000001, -95.51992 30.676047000000004, -95.55167 30.69323300000001, -95.583556 30.732906000000007, -95.676492 30.794044000000003, -95.716874 30.835551, -95.748693 30.859409999999997, -95.789441 30.90907199999998, -95.877528 30.960284000000023, -95.943193 31.041982000000015, -95.975773 31.123205000000006, -95.996644 31.21005400000001, -95.987848 31.25602100000001, -95.97871 31.257822999999995)"
baytown,channelview,"LINESTRING (-94.97759300000001 29.735551000000005, -94.977936 29.736756000000003, -94.984218 29.743824999999987, -94.990949 29.753585000000008, -95.003088 29.76044999999999, -95.021393 29.778380000000006, -95.044395 29.788268999999985, -95.050017 29.791335999999983, -95.056858 29.79085099999998, -95.06701300000002 29.79509999999998, -95.072052 29.79513800000001, -95.0824 29.791537999999985, -95.094457 29.789423999999993, -95.106624 29.785421000000028, -95.10660900000002 29.783041999999984, -95.10539 29.78137200000001, -95.114654 29.776139999999984)"
centerville,dallas,"LINESTRING (-95.97871 31.257822999999995, -96.021911 31.380308000000017, -96.14892 31.582603999999993, -96.182718 31.73244299999999, -96.309454 31.859575999999986, -96.424504 31.93266699999999, -96.45217700000002 32.061459000000006, -96.439102 32.08969499999998, -96.474109 32.200212000000015, -96.510423 32.269392, -96.598059 32.31179899999998, -96.646595 32.37725299999999, -96.664683 32.561316999999995, -96.747016 32.685615999999996, -96.77902 32.77581900000002, -96.796749 32.775945)"
sanAngelo,sonora,"LINESTRING (-100.440481 31.464924999999997, -100.433681 31.356576, -100.511358 31.172370999999995, -100.51231200000001 31.059469999999987, -100.573732 30.986089000000014, -100.585321 30.879994000000003, -100.621622 30.837495000000008, -100.62165 30.75404699999998, -100.646863 30.67154300000002, -100.63636 30.615254000000014, -100.65198 30.575202999999995, -100.643031 30.566985999999986)"
