arc_start,arc_end,dist_capacity,dist_cost_capital,dist_cost_fixed,dist_cost_variable,dist_flowLimit,dist_h
fortWorth_dist_pipelineHighPurity,fortWorth_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,589.0015599998321
fortWorth_dist_truckLiquefied,waco_dist_truckLiquefied,3.0,0.0,0.0,73.230084,8.0,21.001299999830817
fortWorth_production_smr-high,fortWorth_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,589.0015599998321
freeport_center_lowPurity,freeport_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,433.7999999999908
freeport_demand_lowPurity,freeport_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
freeport_dist_pipelineLowPurity,brazoria_dist_pipelineLowPurity,1.0,0.0,5574.229752544253,3.7090200000000006,999999.0,538.0018000003977
freeport_dist_pipelineLowPurity,freeport_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999851
freeport_production_smr-noCCSExisting,freeport_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,433.7999999999908
houston_center_highPurity,houston_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
houston_center_lowPurity,houston_converter_purification,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
houston_converter_fuelDispenserPipeline,houston_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
houston_converter_purification,houston_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
houston_demand_fuelStation,houston_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,358.99999999999994
houston_dist_pipelineHighPurity,houston_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,359.00155999998714
houston_dist_truckLiquefied,pearland_dist_truckLiquefied,3.0,0.0,0.0,13.991187000000002,8.0,20.001279999866302
houston_production_smr-high,houston_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,359.00155999998714
killeen_converter_fuelDispenserLiquid,killeen_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,23.00130999991378
killeen_demand_fuelStation,killeen_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,22.99999999999987
killeen_dist_truckLiquefied,collegeStation_dist_truckLiquefied,5.0,0.0,0.0,88.484082,8.0,38.00255999963526
killeen_dist_truckLiquefied,killeen_converter_fuelDispenserLiquid,3.0,0.0,0.0,0.0,8.0,23.00130999991378
laPorte_center_lowPurity,laPorte_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,1137.5999999999517
laPorte_demand_lowPurity,laPorte_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
laPorte_dist_pipelineLowPurity,laPorte_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999855
laPorte_dist_pipelineLowPurity,montBelvieu_dist_pipelineLowPurity,1.0,29674909.8021567,4367.489070411312,2.906,999999.0,1379.1809100038472
laPorte_dist_pipelineLowPurity,sanJacinto_dist_pipelineLowPurity,1.0,0.0,18865.98750117453,12.532800000000002,999999.0,538.0017999960261
laPorte_production_smr-noCCSExisting,laPorte_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,1137.5999999999517
laredo_center_highPurity,laredo_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,219.99667000038139
laredo_center_lowPurity,laredo_converter_purification,1.0,0.0,0.0,0.0,99999999.9,219.99667000038139
laredo_converter_fuelDispenserPipeline,laredo_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,40.001659999953596
laredo_converter_purification,laredo_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,219.99667000038139
laredo_demand_fuelStation,laredo_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,39.99999999999994
laredo_dist_pipelineHighPurity,corpusChristi_dist_pipelineHighPurity,1.0,229981098.8110711,33848.1209262357,22.53773,999999.0,179.99501000042778
laredo_dist_pipelineHighPurity,laredo_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,40.001659999953596
laredo_dist_pipelineLowPurity,laredo_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,219.99667000038139
lubbock_center_highPurity,lubbock_converter_liquefaction,1.0,0.0,0.0,0.0,99999999.9,173.0104999997575
lubbock_center_highPurity,lubbock_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,40.00173000010699
lubbock_center_lowPurity,lubbock_converter_purification,1.0,0.0,0.0,0.0,99999999.9,213.0122299998645
lubbock_converter_fuelDispenserPipeline,lubbock_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,40.00173000010699
lubbock_converter_liquefaction,lubbock_converter_terminalLiquid,1.0,0.0,0.0,0.0,99999999.9,173.0104999997575
lubbock_converter_purification,lubbock_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,213.0122299998645
lubbock_converter_terminalLiquid,lubbock_dist_truckLiquefied,23.0,0.0,130.80449722016002,0.0,99999999.9,173.0104999997575
lubbock_demand_fuelStation,lubbock_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,39.99999999999994
lubbock_dist_pipelineHighPurity,lubbock_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,40.00173000010699
lubbock_dist_truckLiquefied,abilene_dist_truckLiquefied,13.0,0.0,0.0,133.91651399999998,8.0,101.00649999966639
lubbock_dist_truckLiquefied,amarillo_dist_truckLiquefied,4.0,0.0,0.0,101.98781100000001,8.0,31.001330000116294
lubbock_dist_truckLiquefied,midland_dist_truckLiquefied,3.0,0.0,0.0,97.318353,8.0,22.001339999773535
lubbock_dist_truckLiquefied,odessa_dist_truckLiquefied,3.0,0.0,0.0,113.395083,8.0,19.001330000201317
lubbock_production_smr-high,lubbock_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,213.0122299998645
mcallen_center_highPurity,mcallen_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,22.00166000054986
mcallen_center_lowPurity,mcallen_converter_purification,1.0,0.0,0.0,0.0,99999999.9,22.00166000054986
mcallen_converter_fuelDispenserPipeline,mcallen_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,22.00166000054986
mcallen_converter_purification,mcallen_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,22.00166000054986
mcallen_demand_fuelStation,mcallen_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,21.999999999999943
mcallen_dist_pipelineHighPurity,mcallen_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,22.00166000054986
mcallen_dist_pipelineLowPurity,laredo_dist_pipelineLowPurity,1.0,238421147.97309637,35090.30911533679,23.394800000000004,999999.0,219.99667000038139
mcallen_dist_pipelineLowPurity,mcallen_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,22.00166000054986
midland_converter_fuelDispenserLiquid,midland_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,22.001339999773535
midland_demand_fuelStation,midland_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,21.999999999999883
midland_dist_truckLiquefied,midland_converter_fuelDispenserLiquid,3.0,0.0,0.0,0.0,8.0,22.001339999773535
montBelvieu_center_lowPurity,montBelvieu_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,216.89999999996405
montBelvieu_demand_lowPurity,montBelvieu_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
montBelvieu_dist_pipelineLowPurity,baytown_dist_pipelineLowPurity,1.0,0.0,2690.7700385759113,1.7903600000000002,999999.0,104.20180000354507
montBelvieu_dist_pipelineLowPurity,channelview_dist_pipelineLowPurity,1.0,0.0,3930.274257791438,2.6150900000000004,999999.0,987.3070300018225
montBelvieu_dist_pipelineLowPurity,montBelvieu_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999856
montBelvieu_production_smr-noCCSExisting,montBelvieu_center_lowPurity,1.0,0.0,0.0,0.0,99999999.9,216.89999999996405
odessa_converter_fuelDispenserLiquid,odessa_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,19.001330000201317
odessa_demand_fuelStation,odessa_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,18.99999999999988
odessa_dist_truckLiquefied,odessa_converter_fuelDispenserLiquid,3.0,0.0,0.0,0.0,8.0,19.001330000201317
orange_demand_lowPurity,orange_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
orange_dist_pipelineLowPurity,orange_demand_lowPurity,1.0,0.0,0.0,0.0,999999.0,538.0017999999856
pasadena_center_highPurity,pasadena_dist_pipelineHighPurity,1.0,0.0,0.0,0.0,99999999.9,24.001630000075657
pasadena_center_lowPurity,pasadena_converter_purification,1.0,0.0,0.0,0.0,99999999.9,24.001630000075657
pasadena_center_lowPurity,pasadena_dist_pipelineLowPurity,1.0,0.0,0.0,0.0,99999999.9,409.79836999988584
pasadena_converter_fuelDispenserPipeline,pasadena_demand_fuelStation,1.0,0.0,0.0,0.0,99999999.9,24.001630000075657
pasadena_converter_purification,pasadena_center_highPurity,1.0,0.0,0.0,0.0,99999999.9,24.001630000075657
pasadena_demand_fuelStation,pasadena_demandSector_transportationFuel_carbonSensitive,1.0,0.0,0.0,0.0,99999999.9,23.99999999999988
pasadena_demand_lowPurity,pasadena_demandSector_existing,1.0,0.0,0.0,0.0,99999999.9,538.0
pasadena_dist_pipelineHighPurity,pasadena_converter_fuelDispenserPipeline,1.0,0.0,0.0,0.0,999999.0,24.001630000075657
